[0]	validate-mlogloss:1.33178	train-mlogloss:1.33055
[1]	validate-mlogloss:1.28115	train-mlogloss:1.27858
[2]	validate-mlogloss:1.23353	train-mlogloss:1.22977
[3]	validate-mlogloss:1.18813	train-mlogloss:1.18331
[4]	validate-mlogloss:1.14560	train-mlogloss:1.13925
[5]	validate-mlogloss:1.10548	train-mlogloss:1.09732
[6]	validate-mlogloss:1.06782	train-mlogloss:1.05776
[7]	validate-mlogloss:1.03216	train-mlogloss:1.02023
[8]	validate-mlogloss:0.99788	train-mlogloss:0.98445
[9]	validate-mlogloss:0.96458	train-mlogloss:0.95052
[10]	validate-mlogloss:0.93398	train-mlogloss:0.91827
[11]	validate-mlogloss:0.90381	train-mlogloss:0.88704
[12]	validate-mlogloss:0.87497	train-mlogloss:0.85712
[13]	validate-mlogloss:0.84687	train-mlogloss:0.82846
[14]	validate-mlogloss:0.81994	train-mlogloss:0.80092
[15]	validate-mlogloss:0.79452	train-mlogloss:0.77459
[16]	validate-mlogloss:0.77046	train-mlogloss:0.74939
[17]	validate-mlogloss:0.74696	train-mlogloss:0.72539
[18]	validate-mlogloss:0.72489	train-mlogloss:0.70209
[19]	validate-mlogloss:0.70384	train-mlogloss:0.68026
[20]	validate-mlogloss:0.68369	train-mlogloss:0.65907
[21]	validate-mlogloss:0.66348	train-mlogloss:0.63841
[22]	validate-mlogloss:0.64423	train-mlogloss:0.61887
[23]	validate-mlogloss:0.62575	train-mlogloss:0.59973
[24]	validate-mlogloss:0.60716	train-mlogloss:0.58122
[25]	validate-mlogloss:0.59034	train-mlogloss:0.56360
[26]	validate-mlogloss:0.57406	train-mlogloss:0.54635
[27]	validate-mlogloss:0.55896	train-mlogloss:0.52996
[28]	validate-mlogloss:0.54352	train-mlogloss:0.51397
[29]	validate-mlogloss:0.52899	train-mlogloss:0.49861
[30]	validate-mlogloss:0.51489	train-mlogloss:0.48376
[31]	validate-mlogloss:0.50083	train-mlogloss:0.46926
[32]	validate-mlogloss:0.48800	train-mlogloss:0.45552
[33]	validate-mlogloss:0.47541	train-mlogloss:0.44200
[34]	validate-mlogloss:0.46289	train-mlogloss:0.42896
[35]	validate-mlogloss:0.45067	train-mlogloss:0.41640
[36]	validate-mlogloss:0.43925	train-mlogloss:0.40430
[37]	validate-mlogloss:0.42856	train-mlogloss:0.39257
[38]	validate-mlogloss:0.41761	train-mlogloss:0.38135
[39]	validate-mlogloss:0.40738	train-mlogloss:0.37049
[40]	validate-mlogloss:0.39701	train-mlogloss:0.35977
[41]	validate-mlogloss:0.38762	train-mlogloss:0.34954
[42]	validate-mlogloss:0.37813	train-mlogloss:0.33956
[43]	validate-mlogloss:0.36907	train-mlogloss:0.33009
[44]	validate-mlogloss:0.36021	train-mlogloss:0.32073
[45]	validate-mlogloss:0.35196	train-mlogloss:0.31159
[46]	validate-mlogloss:0.34400	train-mlogloss:0.30279
[47]	validate-mlogloss:0.33609	train-mlogloss:0.29436
[48]	validate-mlogloss:0.32881	train-mlogloss:0.28613
[49]	validate-mlogloss:0.32108	train-mlogloss:0.27821
[50]	validate-mlogloss:0.31431	train-mlogloss:0.27055
[51]	validate-mlogloss:0.30718	train-mlogloss:0.26302
[52]	validate-mlogloss:0.30005	train-mlogloss:0.25573
[53]	validate-mlogloss:0.29370	train-mlogloss:0.24868
[54]	validate-mlogloss:0.28762	train-mlogloss:0.24193
[55]	validate-mlogloss:0.28118	train-mlogloss:0.23538
[56]	validate-mlogloss:0.27527	train-mlogloss:0.22891
[57]	validate-mlogloss:0.26917	train-mlogloss:0.22269
[58]	validate-mlogloss:0.26361	train-mlogloss:0.21666
[59]	validate-mlogloss:0.25822	train-mlogloss:0.21089
[60]	validate-mlogloss:0.25301	train-mlogloss:0.20521
[61]	validate-mlogloss:0.24816	train-mlogloss:0.19965
[62]	validate-mlogloss:0.24286	train-mlogloss:0.19422
[63]	validate-mlogloss:0.23801	train-mlogloss:0.18902
[64]	validate-mlogloss:0.23328	train-mlogloss:0.18404
[65]	validate-mlogloss:0.22875	train-mlogloss:0.17916
[66]	validate-mlogloss:0.22436	train-mlogloss:0.17438
[67]	validate-mlogloss:0.22021	train-mlogloss:0.16973
